#router1, port on router1, router2, port on router 2, failure start, failure end
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1349954338.0,1349954779.0
msa-cc-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/0,1350815412.0,1350815553.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1294677350.0,1294677361.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1294696870.0,1294696882.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1296270389.0,1296270400.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1296270800.0,1296270812.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1296275971.0,1296275981.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1296276306.0,1296276318.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1296834166.0,1296834178.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1297165473.0,1297165776.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1297166073.0,1297166078.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1297671009.0,1297671023.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1297671101.0,1297671827.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1297694705.0,1297694716.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1299828365.0,1299852318.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1300951071.0,1300951075.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1300973113.0,1300975142.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1305172943.0,1305172953.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1305173258.0,1305173269.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1307091533.0,1307091652.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311465364.0,1311525422.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311545780.0,1311545856.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311545928.0,1311545968.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311545979.0,1311546014.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311546166.0,1311575821.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311873379.0,1311873416.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311873455.0,1311890250.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311890813.0,1311890904.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311891135.0,1311891182.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311891509.0,1311891546.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311891617.0,1311892365.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311896369.0,1311896373.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311899102.0,1311899106.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311899814.0,1311899819.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311910658.0,1311910663.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311958455.0,1311958459.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311968599.0,1311968602.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311970189.0,1311970192.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1311970757.0,1311970761.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1313933904.0,1313933909.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1317297084.0,1317297096.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1318437585.0,1318437595.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1326182972.0,1326184780.0
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1326184787.0,1326184793.0
cc-coe,GigabitEthernet0/2,marin-coe,GigabitEthernet0/1,1290068651.0,1290070971.0
cc-coe,GigabitEthernet0/2,marin-coe,GigabitEthernet0/1,1292047580.0,1292047741.0
cc-coe,GigabitEthernet0/2,marin-coe,GigabitEthernet0/1,1306284780.0,1306284796.0
cc-coe,GigabitEthernet0/2,marin-coe,GigabitEthernet0/1,1316681191.0,1316681378.0
mis-cc,Serial2/0,svl-agg1,Serial3/0:2,1290784376.0,1290784424.0
mis-cc,Serial2/0,svl-agg1,Serial3/0:2,1290821733.0,1290821908.0
mis-cc,Serial2/0,svl-agg1,Serial3/0:2,1298383721.0,1298383760.0
mis-cc,Serial2/0,svl-agg1,Serial3/0:2,1298410490.0,1298410530.0
mis-cc,Serial2/0,svl-agg1,Serial3/0:2,1298635686.0,1298636165.0
mis-cc,Serial2/0,svl-agg1,Serial3/0:2,1303197776.0,1303198058.0
mis-cc,Serial2/0,svl-agg1,Serial3/0:2,1303198065.0,1303198076.0
mis-cc,Serial2/0,svl-agg1,Serial3/0:2,1303198892.0,1303198897.0
